timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,load,ram_usage,warning
32385905136,17.2938,17.148605,18.29,18.968805,2824.2092,0,1.1571429,0.71039486,0.8572594,3
32386408443,17.2692,17.208447,18.674398,18.741802,2826.8018,0,1.1571429,0.71039486,0.8572594,3
32386899602,17.5972,17.282103,17.9428,18.503052,2829.3086,0,1.1571429,0.70378023,0.85515225,3
32387402771,17.2446,17.34315,18.3148,18.21892,2831.821,0,1.1571429,0.70378023,0.85515225,3
32387906036,16.7034,17.243214,19.7532,18.7231,2834.4775,0,1.1571429,0.71310693,0.85515225,3
32388409132,16.81,17.099373,20.199598,19.438599,2837.2634,0,1.1571429,0.71310693,0.85515225,3
32388912527,16.7444,16.951096,20.3112,19.898703,2840.0942,0,1.1571429,0.71005356,0.85542417,3
32389403618,16.564,16.87768,20.0632,20.075207,2842.8508,0,1.1571429,0.71005356,0.85542417,3
32389906759,16.9166,16.799463,20.088,20.268688,2845.7034,0,1.1571429,0.7148362,0.85542417,3
32390409979,17.7694,16.959112,18.414,19.537624,2848.3735,0,1.1571429,0.7148362,0.85542417,3
32391907550,17.2938,17.131666,18.6124,18.901033,2856.1177,0,1.1571429,0.6961858,0.8572594,3
32392410767,17.3348,17.224604,18.228,18.5328,2858.6738,0,1.1571429,0.6961858,0.8572594,3
32392913876,17.580801,17.257017,18.662,18.444923,2861.2395,0,1.1571429,0.716208,0.8572594,3
32393417704,17.2364,17.258139,18.6,18.56634,2863.851,0,1.1571429,0.716208,0.8572594,3
32393920582,17.2118,17.265993,18.5628,18.514484,2866.4312,0,1.1571429,0.7154122,0.8572594,3
32394420117,17.1872,17.25794,18.8108,18.637577,2869.0269,0,1.1571429,0.7154122,0.8572594,3
32394910633,17.1298,17.179796,19.2076,18.97617,2871.6445,0,1.1571429,0.7115525,0.8572594,3
32395414041,17.4824,17.263102,18.066801,18.599665,2874.2173,0,1.1571429,0.7115525,0.8572594,3
32395917116,17.4414,17.32109,18.079199,18.310852,2876.7446,0,1.1571429,0.7098177,0.85515225,3
32396420585,16.81,17.302048,19.108398,18.344112,2879.3037,0,1.1571429,0.7098177,0.85515225,3
32396923665,17.015,17.183735,19.2944,18.94969,2882.013,0,1.1571429,0.71622837,0.85515225,3
32397414694,17.179,17.193022,18.8852,18.890224,2884.587,0,1.1571429,0.71622837,0.85515225,3
32397918363,17.22,17.167957,18.7736,18.939121,2887.2441,0,1.1571429,0.71197987,0.85542417,3
32398421120,17.1462,17.21073,18.5504,18.691633,2889.8306,0,1.1571429,0.71197987,0.85542417,3
32398924603,17.7366,17.262484,17.8932,18.504845,2892.4055,0,1.1571429,0.71560276,0.85542417,3
32399415758,17.0396,17.299335,18.7736,18.234215,2894.852,0,1.1571429,0.71560276,0.85542417,3
32399919233,17.138,17.233725,19.0712,18.615168,2897.4944,0,1.1571429,0.716275,0.85542417,3
32400422168,17.0478,17.193499,18.8604,18.779987,2900.1409,0,1.1571429,0.716275,0.85542417,3
